Nível;Referência;Descrição;Qtde. orçada;Unidade;Preço total;BDI(%)
4;11.003.001.002;Acabamento de piso porcelanato 120 x 120cm (material);51.206,38;m2;9.758.932,38;0
4;11.003.001.003;Proteção mecânica em manta;71.673,04;m2;262.638,69;0
4;11.003.001.004;Revestimento escadas especiais (privativa) (material);64;m2;206.297,82;0
4;11.003.001.005;Piso elevado com acabamento em porcelanato 60 x 60cm antiderrapante  (material);637,44;m2;425.008,66;0
4;11.003.001.006;Rodapé 20cm de porcelanato 1,20 x 1,20m (material);10.685,34;m;458.920,22;0
4;11.003.001.007;Rodapé 15cm de porcelanato 60 x 60cm (material);2.083,81;m;40.672,43;0
4;11.003.001.008;Rodapé 20cm de madeira (material);12.141,54;m;1.035.600,51;0
3;11.003.002;Acabamento de Piso (M.O.);;;;
4;11.003.002.001;Assentamento vinílico (M.O.);20.402,66;m2;682.060,92;0
4;11.003.002.002;Assentamento de porcelanato, cerâmica, lajota, pedra de 1,1 a 1,44 m² (M.O.);51.206,38;m2;3.606.465,34;0
4;11.003.002.003;Revestimento escadas especiais (privativa) (M.O.);64;m2;18.623,39;0
4;11.003.002.004;Execução de piso elevado com acabamento em porcelanato 60 x 60cm antiderrapante (M.O.);637,44;m2;63.884,24;0
4;11.003.002.005;Colocação de rodapé de cerâmica/porcelanato (M.O.);10.654,64;m;435.028,95;0
4;11.003.002.006;Colocação de rodapé de madeira (M.O.);12.141,54;m;164.396,45;0
3;11.003.003;Detalhes em Granito (Material);;;;
4;11.003.003.001;Filete de Nanoglass (material);1.416,80;m;50.006,95;0
4;11.003.003.002;Soleiras de granito branco ceará (material);756,06;m;127.279,45;0
4;11.003.003.003;Borda de granito piscinas Limestone (material);347,27;m;68.051,93;0
3;11.003.004;Detalhes em Granito (M.O.);;;;
4;11.003.004.001;Soleiras de granito (M.O.);2.172,86;m;123.179,43;0
4;11.003.004.002;Execução borda de granito piscinas (M.O.);347,27;m;19.686,74;0
3;11.003.005;Acabamento de Parede Interna (Material);;;;
4;11.003.005.001;Acabamento de parede - porcelanato 60 X 120cm Polido (material);44.466,81;m2;6.677.465,24;0
4;11.003.005.002;Acabamento de parede - revestimento de nichos (material);1.906,08;m;228.984,82;0
3;11.003.006;Acabamento de Parede Interna (M.O.);;;;
4;11.003.006.001;Assentamento de porcelanato, cerâmica, lajota, pedra <= 0,99 m²  (M.O.);44.466,81;m2;2.713.809,41;0
4;11.003.006.002;Assentamento de porcelanato nichos (M.O.);1.906,08;m;167.601,61;0
2;11.004;ACABAMENTOS DE PISO E PAREDE PAVIMENTOS TÉCNICOS;;;;
3;11.004.001;Acabamento de Piso (Material);;;;
4;11.004.001.001;Acabamento de piso porcelanato 60 x 60cm (material);2.983,15;m2;300.776,10;0
4;11.004.001.002;Proteção mecânica em manta;2.983,15;m2;10.931,45;0
4;11.004.001.003;Rodapé 15cm de porcelanato 60 x 60cm (material);1.459,46;m;28.486,18;0
3;11.004.002;Acabamento de Piso (M.O.);;;;
4;11.004.002.001;Assentamento de porcelanato, cerâmica, lajota, pedra <= 0,99 m²  (M.O.);2.983,15;m2;182.061,64;0
4;11.004.002.002;Colocação de rodapé de cerâmica/porcelanato (M.O.);1.459,46;m;59.589,75;0
1;12;ESQUADRIAS;;;;
2;12.001;ESQUADRIAS DE ALUMÍNIO;;;;
3;12.001.001;Esquadrias de Alumínio Edifício (Material e M.O.);;;;
4;12.001.001.001;Pele entre vigas - vidro laminado refletivo (material);3.065,32;m2;7.137.825,99;0
4;12.001.001.002;Pele passante  - vidro laminado refletivo (material);56.033,69;m2;130.478.621,67;0
4;12.001.001.003;Porta janela - vidro laminado refletivo (material);3.198,02;m2;6.446.234,52;0
4;12.001.001.004;Vidro temperado translúcido (material);157,66;m2;265.409,89;0
4;12.001.001.005;Porta blindada (material);1;un;15.000,00;0
4;12.001.001.006;Vidro encaixilhado translúcido (material);659,68;m2;1.372.520,64;0
4;12.001.001.007;Portão alumínio (material);371,57;m2;464.462,50;0
4;12.001.001.008;Guarda corpo autoportante - vidro laminado refletivo (material);1.429,74;m2;5.120.760,36;0
4;12.001.001.009;Veneziana de alumínio (material);409,24;m2;560.969,82;0
4;12.001.001.010;Brises de alumínio unitizado (material);2.556,65;m2;4.569.065,91;0
4;12.001.001.011;Brises de alumínio decorativo (material);625,35;m2;1.436.122,53;0
4;12.001.001.012;Fechadura digital fenner;229;un;65.313,09;0
3;12.001.002;Esquadrias de Alumínio Edifício (Material e M.O.);;;;
4;12.001.002.001;Compartimentação vertical nas esquadrias (Material e M.O.);16.172,38;m2;19.406.851,20;0
2;12.002;ESQUADRIA DE MADEIRA;;;;
3;12.002.001;Esquadrias de Madeira Embasamento (Material);;;;
4;12.002.001.001;Porta de madeira abrir 0,70x2,10m (material);7;un;20.757,17;0
4;12.002.001.002;Porta de madeira abrir 0,80x2,10m (material);15;un;44.285,10;0
4;12.002.001.003;Porta de madeira abrir RU 0,80x2,10m (material);4;un;11.518,68;0
4;12.002.001.004;Porta de madeira abrir 0,90x2,10m (material);27;un;94.856,40;0
4;12.002.001.005;Porta de madeira abrir RU 0,90x2,10m (material);10;un;34.405,30;0
3;12.002.002;Esquadrias de Madeira Embasamento (M.O.);;;;
4;12.002.002.001;Instalação de porta de madeira abrir 0,70x2,10m (M.O.);7;un;1.540,70;0
4;12.002.002.002;Instalação de porta de madeira abrir 0,80x2,10m (M.O.);19;un;4.181,90;0
4;12.002.002.003;Instalação de porta de madeira abrir 0,90x2,10m (M.O.);37;un;8.143,70;0
3;12.002.003;Esquadrias de Madeira Área Comum (Material);;;;
4;12.002.003.001;Porta de madeira abrir RU 0,60x2,10m com apliques (material);1;un;3.924,97;0
4;12.002.003.002;Porta de madeira abrir 0,70x2,10m com apliques (material);8;un;31.981,12;0
4;12.002.003.003;Porta de madeira abrir RU 0,70x2,10m com apliques (material);33;un;129.524,01;0
4;12.002.003.004;Porta de madeira abrir 0,80x2,10m com apliques (material);10;un;40.854,90;0
4;12.002.003.005;Porta de madeira abrir RU 0,80x2,10m com apliques (material);8;un;32.102,56;0
4;12.002.003.006;Porta de madeira abrir 0,90x2,10m com apliques (material);42;un;219.424,80;0
4;12.002.003.007;Porta de madeira abrir RU 0,90x2,10m com apliques (material);22;un;113.338,06;0
4;12.002.003.008;Porta de madeira abrir 1,00x2,10m (material);1;un;3.793,15;0
3;12.002.004;Esquadrias de Madeira Área Comum (M.O.);;;;
4;12.002.004.001;Instalação de porta de madeira abrir 0,60x2,10m (M.O.);1;un;220,1;0
4;12.002.004.002;Instalação de porta de madeira abrir 0,70x2,10m (M.O.);41;un;9.024,10;0
4;12.002.004.003;Instalação de porta de madeira abrir 0,80x2,10m (M.O.);18;un;3.961,80;0
4;12.002.004.004;Instalação de porta de madeira abrir 0,90x2,10m (M.O.);64;un;14.086,40;0
4;12.002.004.005;Instalação de porta de madeira abrir 1,00x2,10m (M.O.);1;un;220,1;0
3;12.002.005;Esquadrias de Madeira Torre (Material);;;;
4;12.002.005.001;Porta de madeira abrir 0,70x2,10m (material);2.024,00;un;6.001.787,44;0
4;12.002.005.002;Porta de madeira abrir 0,80x2,10m (material);1.300,00;un;3.838.042,00;0
4;12.002.005.003;Porta de madeira PRF-30 abrir 1,10x2,10m com biometria (material);380;un;2.441.203,60;0
4;12.002.005.004;Porta de madeira PRF-30 abrir 1,20x2,10m com biometria (material);94;un;641.393,96;0
3;12.002.006;Esquadrias de Madeira Torre (M.O.);;;;
4;12.002.006.001;Instalação de porta de madeira abrir 0,70x2,10m (M.O.);2.024,00;un;445.482,40;0
4;12.002.006.002;Instalação de porta de madeira abrir 0,80x2,10m (M.O.);1.300,00;un;286.130,00;0
4;12.002.006.003;Instalação de porta de madeira abrir 1,10x2,10m (M.O.);380;un;83.638,00;0
4;12.002.006.004;Instalação de porta de madeira abrir 1,20x2,10m (M.O.);94;un;20.689,40;0
3;12.002.007;Esquadrias de Madeira Técnicos (Material);;;;
4;12.002.007.001;Porta de madeira abrir 0,70x2,10m (material);18;un;53.375,58;0
4;12.002.007.002;Porta de madeira abrir 0,80x2,10m (material);16;un;47.237,44;0
3;12.002.008;Esquadrias de Madeira Técnicos (M.O.);;;;
4;12.002.008.001;Instalação de porta de madeira abrir 0,70x2,10m (M.O.);18;un;3.961,80;0
4;12.002.008.002;Instalação de porta de madeira abrir 0,80x2,10m (M.O.);16;un;3.521,60;0
2;12.003;PORTAS CORTA FOGO;;;;
3;12.003.001;Portas Corta Fogo Área comum (Material);;;;
4;12.003.001.001;Porta corta fogo pintura epóxi 0,90x2,10m (material);39;un;68.592,81;0
4;12.003.001.002;Porta corta fogo epóxi dupla 1,60x2,10m (material);16;un;63.388,32;0
3;12.003.002;Portas Corta Fogo Área Comum (M.O.);;;;
4;12.003.002.001;Instalação de porta corta fogo pintura epóxi 0,90x2,10m (M.O.);39;un;6.421,74;0
4;12.003.002.002;Instalação de porta corta fogo inox dupla 1,60x2,10m (M.O.);16;un;3.951,84;0
3;12.003.003;Portas Corta Fogo Embasamento (Material);;;;
4;12.003.003.001;Porta corta fogo pintura epóxi 0,90x2,10m (material);31;un;54.522,49;0
3;12.003.004;Portas Corta Fogo Embasamento (M.O.);;;;
4;12.003.004.001;Instalação de porta corta fogo pintura epóxi 0,90x2,10m (M.O.);31;un;5.104,46;0
3;12.003.005;Portas Corta Fogo Torre (Material);;;;
4;12.003.005.001;Porta corta fogo pintura epóxi 0,90x2,10m (material);260;un;457.285,40;0
3;12.003.006;Portas Corta Fogo Torre (M.O.);;;;
4;12.003.006.001;Instalação de porta corta fogo pintura epóxi 0,90x2,10m (M.O.);260;un;42.811,60;0
3;12.003.007;Portas Corta Fogo Técnicos (Material);;;;
4;12.003.007.001;Porta corta fogo pintura epóxi 0,90x2,10m (material);25;un;43.969,75;0
3;12.003.008;Portas Corta Fogo Técnicos (M.O.);;;;
4;12.003.008.001;Instalação de porta corta fogo inox 0,90x2,10m (M.O.);25;un;4.116,50;0
1;13;SISTEMAS E INSTALAÇÕES ESPECIAIS;;;;
2;13.001;SISTEMAS CONTRA INCÊNDIO;;;;
3;13.001.001;Escada pressurizada (Material e M.O.);;;;
4;13.001.001.001;Escada pressurizada;1;vb;267.858,34;0
3;13.001.002;Desenfumagem (Material e M.O.);;;;
4;13.001.002.001;Desenfumagem;1;vb;67.242,60;0
3;13.001.003;Sistema de detecção e alarme (Material e M.O.);;;;
4;13.001.003.001;Cabeamento e equipamentos alarme de incêndio;144.739,80;m2;545.669,05;0
3;13.001.004;Extintores e placas de sinalização;;;;
4;13.001.004.001;Extintores e placas de sinalização;1;vb;149.806,02;0
3;13.001.005;Automação iluminação de emergência (Material e M.O.);;;;
4;13.001.005.001;Automação iluminação de emergência;144.739,80;m2;756.989,15;0
3;13.001.006;Firestop passagens tubulações;;;;
4;13.001.006.001;Envelopamento prumada (material e M.O.);1;vb;2.175.996,60;0
3;13.001.007;Mão de obra parte civil e acessórios (preventivo);;;;
4;13.001.007.001;Mão de obra parte civil e acessórios (preventivo);144.739,80;m2;153.424,19;0
3;13.001.008;Preventivo contra incêndio (material);;;;
4;13.001.008.001;Preventivo (material) - Cotação Temon;144.739,80;m2;11.138.234,20;0
3;13.001.009;Preventivo contra incêndio (M.O.);;;;
4;13.001.009.001;Preventivo (M.O.) - Cotação Temon;144.739,80;m2;6.613.320,68;0
2;13.002;ELEVADORES;;;;
3;13.002.001;Elevadores;;;;
4;13.002.001.001;Elevadores sociais - Faseado;4;un;56.795.317,40;0
4;13.002.001.002;Elevadores serviços e emergência - Faseado;3;un;41.950.083,09;0
4;13.002.001.003;Elevadores secundários (museu, sala comercial, públicos e restaurante);7;un;2.972.004,00;0
4;13.002.001.004;Elevadores montacarga;1;un;313.750,50;0
4;13.002.001.005;Elevadores delivery;1;un;8.057.360,79;0
4;13.002.001.006;Elevador Heliponto;1;un;1.480.680,81;0
4;13.002.001.007;Elevadores automotivo;1;un;3.561.377,71;0
4;13.002.001.008;Elevadores automotivo panorâmico;1;un;1.692.144,53;0
4;13.002.001.009;Escadas rolantes;4;un;5.444.798,16;0
4;13.002.001.010;Manutenção de elevador;6;mês;388.531,38;0
2;13.003;INFRAESTRUTURA CLIMATIZAÇÃO;;;;
3;13.003.001;Infra Climatização (Material);;;;
4;13.003.001.001;Infraestrutura de climatização na alvenaria/estrutura torre (material);2.090,00;pto;4.457.829,97;0
3;13.003.002;Infra Climatização (M.O.);;;;
4;13.003.002.001;Execução de infraestrutura de climatização na alvenaria/estrutura torre (M.O.);2.090,00;pto;665.307,61;0
3;13.003.003;Infra Climatização (Material e M.O.);;;;
4;13.003.003.001;Infraestrutura de climatização na alvenaria/estrutura área comum (material e M.O.) - Estimativa;11.474,37;m2;932.590,90;0
2;13.004;GÁS;;;;
3;13.004.001;Gás Piso (Material);;;;
4;13.004.001.001;Gás piso (material);473;pto;123.091,16;0
3;13.004.002;Gás Piso (M.O.);;;;
4;13.004.002.001;Instalação gás piso;473;pto;38.011,46;0
3;13.004.003;Gás Prumada e Acessórios (Material);;;;
4;13.004.003.001;Gás prumada e Acessórios (material);473;pto;697.516,55;0
3;13.004.004;Gás  Prumada e Acessórios (M.O.);;;;
4;13.004.004.001;Instalação gás prumadas e acessórios;473;pto;215.398,29;0
2;13.005;INSTALAÇÕES ESPECIAIS;;;;
3;13.005.001;Infra sistemas de exaustão (Material e M.O.);;;;
4;13.005.001.001;Dutos churrasqueira a carvão;144,1;m;120.095,82;0
4;13.005.001.002;Dutos churrasqueira a gas;3.544,86;m;2.572.823,94;0
4;13.005.001.003;Dutos aquecedor;927,48;m;377.113,37;0
4;13.005.001.004;Saída aquecedor;472;un;162.504,88;0
4;13.005.001.005;Dutos coifas do fogão;3.387,78;m;2.541.106,02;0
3;13.005.002;Automação (Material e M.O.);;;;
4;13.005.002.001;Sistema de automação - Parametrizado;144.739,80;m2;10.400.423,07;0
3;13.005.003;Equipamentos Climatização (Material e M.O.);;;;
4;13.005.003.001;Equipamentos de climatização - Estimativa (material e M.O.);11.474,37;m2;2.538.360,13;0
1;14;SERVIÇOS COMPLEMENTARES;;;;
2;14.001;LOUÇAS E METAIS;;;;
3;14.001.001;Louças Área comum;;;;
4;14.001.001.001;Bacio sanitário c/ caixa acoplada modelo gap;13;un;16.706,43;0
4;14.001.001.002;Bacia suspensa c/caixa de descarga, válvula e assento;50;un;167.428,00;0
4;14.001.001.003;Bacio sanitário c/ caixa acoplada (bwc deficiente) c/ assento e barras de apoio;19;un;47.707,02;0
4;14.001.001.004;Assento e tampa bacio sanitário modelo gap;13;un;5.949,32;0
4;14.001.001.005;Cubas em louça - Área comum;1;vb;200.000,00;0
3;14.001.002;Metais e Acessórios Área comum;;;;
4;14.001.002.001;Metais e acessórios - Área comum;1;un;788.289,22;0
3;14.001.003;Louças Embasamento;;;;
4;14.001.003.001;Bacia suspensa c/caixa de descarga, válvula e assento;17;un;56.925,52;0
4;14.001.003.002;Cubas em louça - Estimado;1;un;30.000,00;0
3;14.001.004;Metais e Acessórios Embasamento;;;;
4;14.001.004.001;Ralos, acabamento registros e cubas - Estimado;1;un;60.000,00;0
3;14.001.005;Louças Torre;;;;
4;14.001.005.001;Bacia suspensa c/caixa de descarga, válvula e assento;242;un;810.351,52;0
4;14.001.005.002;Bacio sanitário c/ caixa acoplada modelo gap;1.430,00;un;1.837.707,30;0
3;14.001.006;Metais e Acessórios Torre;;;;
4;14.001.006.001;Acabamento de pontos hidráulicos;17.890,46;un;710.967,06;0
4;14.001.006.002;Ralos (parametrizado);144.739,80;m2;235.925,87;0
2;14.002;SERVIÇOS COMPLEMENTARES;;;;
3;14.002.001;Corrimão de Escadas (Material e M.O.);;;;
4;14.002.001.001;Corrimão de madeira fixo em parede (material);4.074,34;m;142.235,21;0
4;14.002.001.002;Colocação de corrimão de madeira (M.O.);4.074,34;m;94.443,20;0
4;14.002.001.003;Guarda corpo escadaria (material e M.O.);202;un;59.135,50;0
3;14.002.002;Serviços Complementares;;;;
4;14.002.002.001;Sistema piso aquecido;2.325,00;m2;1.444.499,25;0
4;14.002.002.002;Sistema de suporte para manutenção de fachada;5;vb;24.500.000,00;0
4;14.002.002.003;Iluminação Embasamento (Av. Normando Tedesco);1.854,20;m;8.806.096,43;0
4;14.002.002.004;Iluminação S (Av. Normando Tedesco);82;m;501.440,66;0
4;14.002.002.005;"Iluminação ""Geodésia"" (Av. Brasil)";129,6;m;792.520,85;0
4;14.002.002.006;Iluminação torre - Base Boreal;6.600,30;m;40.361.692,54;0
4;14.002.002.007;Iluminação coroamento;20;un;1.200.000,00;0
4;14.002.002.008;Quadra esportiva com piso modular, alambrado em inox, iluminação, redes de proteção e equipamentos;115,26;m2;138.225,56;0
4;14.002.002.009;Churrasqueira a carvão;10;un;14.354,56;0
3;14.002.003;Piscinas, saunas, banheiras e SPA's;;;;
4;14.002.003.001;Equipamentos piscinas moldadas in loco;556,08;m2;611.487,81;0
4;14.002.003.002;Piscinas Igui Unlimited (aquecida);20;un;4.485.216,60;0
4;14.002.003.003;Sistema de desumidificador para piscinas;1;un;242.339,50;0
4;14.002.003.004;Espelhos d'água, fontes, chafariz;1;un;52.489,62;0
4;14.002.003.005;Cascata;1;un;31.470,64;0
4;14.002.003.006;Banheiras;250;un;1.140.967,50;0
4;14.002.003.007;Spas Igui Unlimited;10;un;436.162,30;0
4;14.002.003.008;Spas;2;un;40.015,18;0
4;14.002.003.009;Saunas;1;vb;28.433,94;0
3;14.002.004;Serviços de Serralheria;;;;
4;14.002.004.001;Serviço de serralheria (grelha, tampa, escada marinheiro);1;vb;65.342,03;0
3;14.002.005;Escadas pré moldadas (Material e M.O.);;;;
4;14.002.005.001;Escadas especiais (privativa);8;un;375.376,24;0
4;14.002.005.002;Escadas especiais (comum);3;un;161.880,99;0
3;14.002.006;Balizador e acessórios pináculo;;;;
4;14.002.006.001;Balizador - Pináculo;1;vb;41.114,89;0
3;14.002.007;Estruturas metálicas;;;;
4;14.002.007.001;Estrutura metálica térreo e lazer (sem vidro e acm) - Brafer;1;vb;42.511.522,75;0
4;14.002.007.002;"Estrutura metálica ""S"" (material e M.O.)";1;vb;700.000,00;0
4;14.002.007.003;Estrutura metálica coroamento estimado (material e M.O.) - Solutec;1.422.933,33;kg;106.720.000,00;0
4;14.002.007.004;Acabamento estrutura metálica térreo (Material e M.O.) - Estimativa;3.144,22;m2;2.515.372,00;0
4;14.002.007.005;Acabamento estrutura metálica em S (Material e M.O.) - Estimativa;359,743;m2;287.794,40;0
4;14.002.007.006;Acm especial coroamento (material);5.903,21;m2;4.101.015,55;0
4;14.002.007.007;Acm especial coroamento (M.O.);5.903,21;m2;2.942.393,50;0
4;14.002.007.008;Fechamentos em vidro - Geodésias e passarela - Térreo e L1 - Estimativa;1;vb;4.827.220,00;0
3;14.002.008;Laudos e equipamentos de entrega para o condomínio;;;;
4;14.002.008.001;As Built Digital;144.739,80;m2;86.843,88;0
4;14.002.008.002;Laudo de entrega do empreendimento;144.739,80;m2;43.421,94;0
4;14.002.008.003;Equipamentos para condomínio;1;vb;51.263,47;0
4;14.002.008.004;Máquinas para lavação do piso da garagem;1;un;7.472,58;0
3;14.002.009;Mobilização e Desmobilização;;;;
4;14.002.009.001;Verba p/ demolição de plantão e tapume;1.367,87;m2;704.206,83;0
2;14.003;LIMPEZA FINAL DE OBRA;;;;
3;14.003.001;Limpeza Final de Obra;;;;
4;14.003.001.001;Limpeza grossa da obra;144.739,80;m2;2.169.649,60;0
4;14.003.001.002;Limpeza fina da obra;144.739,80;m2;1.940.960,72;0
4;14.003.001.003;Limpeza pós vistorias da obra;115.605,84;m2;1.550.274,31;0
4;14.003.001.004;Limpeza de ralos;5.012,64;un;77.194,61;0
4;14.003.001.005;Lavação fachada (material e M.O.);80.031,03;m2;1.115.632,54;0
1;15;DECORAÇÃO E MOBILIÁRIO ÁREA COMUM;;;;
2;15.001;DECORAÇÃO E MOBILIÁRIO ÁREA COMUM;;;;
3;15.001.001;Decoração e mobiliário área comum;;;;
4;15.001.001.001;Decoração e mobiliário área comum - Parametrizado;14.103,27;m2;32.041.924,28;0
4;15.001.001.002;Paisagismo especial de fachada;945,96;m2;1.227.988,51;0
